nome,codigo,valor,intensidade,uf
CACHOEIRA DO PIRIÁ,1501956,1,s0,Pará
SÃO JOSÉ DOS BASÍLIOS,2111250,0,si,Maranhão
SERRINHA DOS PINTOS,2413557,2,s1,Rio Grande do Norte
MULUNGU DO MORRO,2922052,2,s1,Bahia
CURRALINHOS,2203255,2,s1,Piauí
SANTA MARIA DO SALTO,3158102,0,si,Minas Gerais
SÃO FÉLIX DE BALSAS,2110807,3,s2,Maranhão
ALAGOA NOVA,2500403,2,s1,Paraíba
ITUAÇU,2917201,3,s2,Bahia
MARAVILHA,2704609,3,s2,Alagoas
CAPINZAL DO NORTE,2102754,0,si,Maranhão
SÃO JOSÉ DO PEIXE,2210102,4,s3,Piauí
SÃO JOSÉ DO CAMPESTRE,2412302,2,s1,Rio Grande do Norte
BELA CRUZ,2302305,3,s2,Ceará
FRANCISCO SANTOS,2204204,5,s4,Piauí
BARRA DO OURO,1703073,2,s1,Tocantins
SANTANÓPOLIS,2928307,3,s2,Bahia
AREIA DE BARAÚNAS,2501153,1,s0,Paraíba
GARARU,2802403,1,s0,Sergipe
SANTANA DE MANGUEIRA,2513505,3,s2,Paraíba
VITORINO FREIRE,2113009,0,si,Maranhão
CONCEIÇÃO DO LAGO-AÇU,2103554,0,si,Maranhão
BELÉM,2700805,2,s1,Alagoas
INDEPENDÊNCIA,2305605,5,s4,Ceará
PEDRA AZUL,3148707,2,s1,Minas Gerais
BOM JESUS DA SERRA,2903953,2,s1,Bahia
CHÃ GRANDE,2604502,2,s1,Pernambuco
AMARANTE DO MARANHÃO,2100600,2,s1,Maranhão
MESSIAS,2705200,0,si,Alagoas
CAETÉS,2603207,3,s2,Pernambuco
BREJOLÂNDIA,2904407,4,s3,Bahia
AVELINO LOPES,2201101,3,s2,Piauí
JARDIM DO MULATO,2205250,3,s2,Piauí
POSSE,5218300,3,s2,Goiás
APORÁ,2901908,2,s1,Bahia
BOA HORA,2201770,4,s3,Piauí
CARNAUBAL,2303402,4,s3,Ceará
PAULISTA,2510907,1,s0,Paraíba
PORTO RICO DO MARANHÃO,2109056,3,s2,Maranhão
TURILÂNDIA,2112456,3,s2,Maranhão
ITAGUATINS,1710706,2,s1,Tocantins
SENADOR POMPEU,2312700,4,s3,Ceará
CANTO DO BURITI,2202307,4,s3,Piauí
MANOEL EMÍDIO,2205904,4,s3,Piauí
CARAÚBAS,2402303,2,s1,Rio Grande do Norte
ANADIA,2700201,1,s0,Alagoas
TENENTE ANANIAS,2414100,2,s1,Rio Grande do Norte
PARAMIRIM,2923605,3,s2,Bahia
MARAGOGI,2704500,0,si,Alagoas
OLHO D'ÁGUA GRANDE,2705903,1,s0,Alagoas
ESPERANÇA,2506004,2,s1,Paraíba
ITAJU DO COLÔNIA,2915403,1,s0,Bahia
GALINHOS,2404101,4,s3,Rio Grande do Norte
SÃO LUÍS DO QUITUNDE,2708501,0,si,Alagoas
LAGOA DO BARRO DO PIAUÍ,2205565,4,s3,Piauí
LAFAIETE COUTINHO,2918704,1,s0,Bahia
AGUIAR,2500205,2,s1,Paraíba
MILHÃ,2308351,4,s3,Ceará
LUÍS GOMES,2407005,2,s1,Rio Grande do Norte
GOIANA,2606200,2,s1,Pernambuco
SÃO DOMINGOS DO AZEITÃO,2110658,2,s1,Maranhão
IGARAPÉ GRANDE,2105203,0,si,Maranhão
RIBEIRÃO DO LARGO,2926657,3,s2,Bahia
MATURÉIA,2509396,2,s1,Paraíba
MALHADOR,2803906,1,s0,Sergipe
DÁRIO MEIRA,2910008,1,s0,Bahia
ENCANTO,2403301,2,s1,Rio Grande do Norte
GLÓRIA DO GOITÁ,2606101,2,s1,Pernambuco
VALENÇA,2932903,1,s0,Bahia
BOA NOVA,2903706,2,s1,Bahia
CALUMBI,2603405,4,s3,Pernambuco
SOCORRO DO PIAUÍ,2210904,4,s3,Piauí
ARARIPINA,2601102,5,s4,Pernambuco
PASSIRA,2610509,3,s2,Pernambuco
JANDUÍS,2405207,2,s1,Rio Grande do Norte
ITAPORANGA D'AJUDA,2803203,1,s0,Sergipe
PASTOS BONS,2108009,2,s1,Maranhão
PACAJUS,2309607,4,s3,Ceará
BOM SUCESSO,2502300,2,s1,Paraíba
PAULO AFONSO,2924009,3,s2,Bahia
MONTANHAS,2407708,1,s0,Rio Grande do Norte
CURIMATÁ,2203206,3,s2,Piauí
PEDRO ALEXANDRE,2924207,2,s1,Bahia
MAIRI,2920106,2,s1,Bahia
SÃO MIGUEL DO GOSTOSO,2412559,1,s0,Rio Grande do Norte
CAMPO REDONDO,2402105,2,s1,Rio Grande do Norte
MAMBAÍ,5212709,3,s2,Goiás
DIVINA PASTORA,2802007,1,s0,Sergipe
DOM MACEDO COSTA,2910206,1,s0,Bahia
SANTA HELENA,2513307,2,s1,Paraíba
ITIRUÇU,2916906,1,s0,Bahia
ILHA GRANDE,2204659,1,s0,Piauí
LAJES PINTADAS,2406809,2,s1,Rio Grande do Norte
ROSÁRIO DO CATETE,2806107,1,s0,Sergipe
CAXIAS,2103000,2,s1,Maranhão
UBATÃ,2932309,1,s0,Bahia
COLINAS,2103505,0,si,Maranhão
