nome,codigo,valor,intensidade,uf
ITAIPAVA DO GRAJAÚ,2105351,2,s1,Maranhão
UIRAÚNA,2516904,3,s2,Paraíba
ALVORADA DO GURGUÉIA,2200459,3,s2,Piauí
CAMPESTRE DO MARANHÃO,2102556,3,s2,Maranhão
CAPIM GROSSO,2906873,1,s0,Bahia
IAÇU,2911907,0,si,Bahia
BONFIM DO PIAUÍ,2201929,4,s3,Piauí
BURITI DOS MONTES,2202026,4,s3,Piauí
RIO FORMOSO,2611903,0,si,Pernambuco
CABROBÓ,2603009,5,s4,Pernambuco
FLORES DO PIAUÍ,2203800,4,s3,Piauí
JOÃO CÂMARA,2405801,1,s0,Rio Grande do Norte
ALIANÇA,2600708,0,si,Pernambuco
LAGOA DO OURO,2608602,2,s1,Pernambuco
CABO DE SANTO AGOSTINHO,2602902,0,si,Pernambuco
LAVANDEIRA,1712157,3,s2,Tocantins
BREJO SANTO,2302503,4,s3,Ceará
ASSUNÇÃO,2501351,2,s1,Paraíba
FRUTUOSO GOMES,2404002,3,s2,Rio Grande do Norte
JACOBINA DO PIAUÍ,2205151,5,s4,Piauí
CEDRO,2604304,4,s3,Pernambuco
AQUIDABÃ,2800209,0,si,Sergipe
TAGUATINGA,1720903,3,s2,Tocantins
SÃO FÉLIX,2929008,0,si,Bahia
SÃO SEBASTIÃO DO TOCANTINS,1720309,2,s1,Tocantins
OCARA,2309458,4,s3,Ceará
ARRAIAL,2201002,3,s2,Piauí
SÃO BRÁS,2708204,0,si,Alagoas
GUAMARÉ,2404507,4,s3,Rio Grande do Norte
ZÉ DOCA,2114007,1,s0,Maranhão
SÃO BERNARDO,2110609,3,s2,Maranhão
FELIPE GUERRA,2403707,3,s2,Rio Grande do Norte
PASSAGEM FRANCA,2107902,1,s0,Maranhão
SÃO MIGUEL DAS MATAS,2929404,0,si,Bahia
CURRAL DE CIMA,2505279,0,si,Paraíba
ÁGUA BRANCA,2200202,2,s1,Piauí
CAMPESTRE,2701357,0,si,Alagoas
IBIAPINA,2305308,4,s3,Ceará
SAPÉ,2515302,0,si,Paraíba
TURIAÇU,2112407,3,s2,Maranhão
GRANITO,2606309,5,s4,Pernambuco
PORTEIRAS,2311108,4,s3,Ceará
COQUEIRO SECO,2702207,0,si,Alagoas
AREIA,2501104,2,s1,Paraíba
CRATEÚS,2304103,5,s4,Ceará
SÃO JOSÉ DO SERIDÓ,2412401,2,s1,Rio Grande do Norte
MANSIDÃO,2920452,3,s2,Bahia
SIRIRI,2807204,0,si,Sergipe
ITINGA DO MARANHÃO,2105427,2,s1,Maranhão
VERDEJANTE,2616100,5,s4,Pernambuco
BOA VISTA DO GURUPI,2101970,1,s0,Maranhão
SANTO AMARO DO MARANHÃO,2110278,3,s2,Maranhão
MARANHÃOZINHO,2106375,0,si,Maranhão
PALMAS DE MONTE ALTO,2923407,3,s2,Bahia
FREI MARTINHO,2506202,2,s1,Paraíba
MACURURÉ,2919900,3,s2,Bahia
IBATEGUARA,2703007,1,s0,Alagoas
PADRE MARCOS,2207207,5,s4,Piauí
PARAMOTI,2310407,5,s4,Ceará
QUEBRANGULO,2707602,1,s0,Alagoas
TERRA NOVA,2615201,5,s4,Pernambuco
IBIQUERA,2912608,0,si,Bahia
RIACHUELO,2410900,1,s0,Rio Grande do Norte
LIVRAMENTO,2508505,3,s2,Paraíba
ITAPITANGA,2916609,0,si,Bahia
BERNARDO DO MEARIM,2101939,0,si,Maranhão
TAVARES,2516607,3,s2,Paraíba
REMÍGIO,2512705,2,s1,Paraíba
TACIMA,2516409,0,si,Paraíba
CORAÇÃO DE MARIA,2908903,0,si,Bahia
PAU DOS FERROS,2409407,3,s2,Rio Grande do Norte
ENTRE RIOS,2910503,0,si,Bahia
DOMINGOS MOURÃO,2203420,4,s3,Piauí
LORETO,2106102,3,s2,Maranhão
DEPUTADO IRAPUAN PINHEIRO,2304269,4,s3,Ceará
ALDEIAS ALTAS,2100303,1,s0,Maranhão
CASSERENGUE,2504157,2,s1,Paraíba
GOVERNADOR ARCHER,2104503,0,si,Maranhão
SANTO ANTÔNIO DE JESUS,2928703,0,si,Bahia
SERRA DA RAIZ,2515609,0,si,Paraíba
BOTUPORÃ,2904209,3,s2,Bahia
BELA VISTA DO MARANHÃO,2101772,0,si,Maranhão
PASSO DE CAMARAGIBE,2706505,0,si,Alagoas
AMÉRICA DOURADA,2901155,1,s0,Bahia
BELO JARDIM,2601706,5,s4,Pernambuco
JOÃO DOURADO,2918357,1,s0,Bahia
JURIPIRANGA,2507903,0,si,Paraíba
FRANCISCO AYRES,2204105,3,s2,Piauí
RIACHÃO DAS NEVES,2926202,3,s2,Bahia
SÃO LUIS DO PIAUÍ,2210375,5,s4,Piauí
IPANGUAÇU,2404705,3,s2,Rio Grande do Norte
PIRACURUCA,2208304,2,s1,Piauí
ITANHÉM,2916005,0,si,Bahia
MASSAPÊ,2308005,4,s3,Ceará
ARACAJU,2800308,0,si,Sergipe
BARRA DE SANTA ROSA,2501609,2,s1,Paraíba
SÃO FRANCISCO DO MARANHÃO,2110906,2,s1,Maranhão
SERRINHA,2930501,0,si,Bahia
MASCOTE,2920908,0,si,Bahia
CARAÚBAS DO PIAUÍ,2202539,2,s1,Piauí
SALVADOR,2927408,0,si,Bahia
MAJOR SALES,2407252,3,s2,Rio Grande do Norte
GUIMARÃES,2104909,3,s2,Maranhão
BURITI DO TOCANTINS,1703800,2,s1,Tocantins
SÃO FÉLIX DO TOCANTINS,1720150,3,s2,Tocantins
SÃO JOÃO DO CARÚ,2111029,0,si,Maranhão
ROSÁRIO,2109601,3,s2,Maranhão
WAGNER,2933406,1,s0,Bahia
SÃO FRANCISCO DE ASSIS DO PIAUÍ,2209658,5,s4,Piauí
LAMARÃO,2919108,0,si,Bahia
SÃO FRANCISCO DO CONDE,2929206,0,si,Bahia
BARCELONA,2401503,2,s1,Rio Grande do Norte
JOAQUIM GOMES,2703809,0,si,Alagoas
JOÃO ALFREDO,2608107,3,s2,Pernambuco
GRANJA,2304707,3,s2,Ceará
PEDRO RÉGIS,2512721,0,si,Paraíba
JACUÍPE,2703502,0,si,Alagoas
BARRA DO ROCHA,2903102,0,si,Bahia
TUCANO,2931905,1,s0,Bahia
BURITI BRAVO,2102309,1,s0,Maranhão
SÃO JOÃO DO PIAUÍ,2210003,4,s3,Piauí
RIACHO DE SANTO ANTÔNIO,2512788,3,s2,Paraíba
IMACULADA,2506707,3,s2,Paraíba
SÃO JOÃO DO PARAÍSO,3162708,2,s1,Minas Gerais
CAPOEIRAS,2603801,4,s3,Pernambuco
IPIRANGA DO PIAUÍ,2204808,4,s3,Piauí
BACURI,2101301,3,s2,Maranhão
TENENTE LAURENTINO CRUZ,2414159,2,s1,Rio Grande do Norte
BARRA,2902708,3,s2,Bahia
CORIBE,2909109,3,s2,Bahia
IPUEIRA,2404804,3,s2,Rio Grande do Norte
PEDRÃO,2924108,0,si,Bahia
TAMANDARÉ,2614857,0,si,Pernambuco
SÃO CRISTÓVÃO,2806701,0,si,Sergipe
ABARÉ,2900207,5,s4,Bahia
VILA NOVA DO PIAUÍ,2211605,5,s4,Piauí
PERITORÓ,2108454,0,si,Maranhão
BONINAL,2904001,2,s1,Bahia
ITAGI,2915106,0,si,Bahia
CRAVOLÂNDIA,2909505,0,si,Bahia
JUNCO DO SERIDÓ,2507804,3,s2,Paraíba
SÃO BENTO,2110500,1,s0,Maranhão
DOM PEDRO,2103802,0,si,Maranhão
SÃO JOÃO DA FRONTEIRA,2209872,3,s2,Piauí
PEDRAS DE FOGO,2511202,0,si,Paraíba
SÃO JOÃO DA CANABRAVA,2209856,4,s3,Piauí
BARRA DE SÃO MIGUEL,2501708,3,s2,Paraíba
SANTO ESTÊVÃO,2928802,0,si,Bahia
SÃO JOÃO DOS PATOS,2111102,2,s1,Maranhão
BOA VISTA DO TUPIM,2903805,0,si,Bahia
FLORIANO,2203909,3,s2,Piauí
