nome,codigo,valor,intensidade,uf
CACHOEIRA DO PIRIÁ,1501956,0,si,Pará
SÃO JOSÉ DOS BASÍLIOS,2111250,0,si,Maranhão
SERRINHA DOS PINTOS,2413557,2,s1,Rio Grande do Norte
MULUNGU DO MORRO,2922052,1,s0,Bahia
CURRALINHOS,2203255,0,si,Piauí
SANTA MARIA DO SALTO,3158102,0,si,Minas Gerais
SÃO FÉLIX DE BALSAS,2110807,2,s1,Maranhão
ALAGOA NOVA,2500403,3,s2,Paraíba
ITUAÇU,2917201,4,s3,Bahia
MARAVILHA,2704609,3,s2,Alagoas
CAPINZAL DO NORTE,2102754,0,si,Maranhão
SÃO JOSÉ DO PEIXE,2210102,4,s3,Piauí
SÃO JOSÉ DO CAMPESTRE,2412302,2,s1,Rio Grande do Norte
BELA CRUZ,2302305,3,s2,Ceará
FRANCISCO SANTOS,2204204,5,s4,Piauí
BARRA DO OURO,1703073,1,s0,Tocantins
SANTANÓPOLIS,2928307,3,s2,Bahia
AREIA DE BARAÚNAS,2501153,1,s0,Paraíba
GARARU,2802403,2,s1,Sergipe
SANTANA DE MANGUEIRA,2513505,2,s1,Paraíba
VITORINO FREIRE,2113009,0,si,Maranhão
CONCEIÇÃO DO LAGO-AÇU,2103554,0,si,Maranhão
BELÉM,2700805,2,s1,Alagoas
INDEPENDÊNCIA,2305605,5,s4,Ceará
PEDRA AZUL,3148707,1,s0,Minas Gerais
BOM JESUS DA SERRA,2903953,3,s2,Bahia
CHÃ GRANDE,2604502,4,s3,Pernambuco
AMARANTE DO MARANHÃO,2100600,2,s1,Maranhão
MESSIAS,2705200,2,s1,Alagoas
CAETÉS,2603207,4,s3,Pernambuco
BREJOLÂNDIA,2904407,2,s1,Bahia
AVELINO LOPES,2201101,2,s1,Piauí
JARDIM DO MULATO,2205250,2,s1,Piauí
POSSE,5218300,1,s0,Goiás
APORÁ,2901908,2,s1,Bahia
BOA HORA,2201770,0,si,Piauí
CARNAUBAL,2303402,5,s4,Ceará
PAULISTA,2510907,1,s0,Paraíba
PORTO RICO DO MARANHÃO,2109056,1,s0,Maranhão
TURILÂNDIA,2112456,1,s0,Maranhão
ITAGUATINS,1710706,2,s1,Tocantins
SENADOR POMPEU,2312700,4,s3,Ceará
CANTO DO BURITI,2202307,2,s1,Piauí
MANOEL EMÍDIO,2205904,2,s1,Piauí
CARAÚBAS,2402303,2,s1,Rio Grande do Norte
ANADIA,2700201,2,s1,Alagoas
TENENTE ANANIAS,2414100,2,s1,Rio Grande do Norte
PARAMIRIM,2923605,3,s2,Bahia
MARAGOGI,2704500,2,s1,Alagoas
OLHO D'ÁGUA GRANDE,2705903,2,s1,Alagoas
ESPERANÇA,2506004,3,s2,Paraíba
ITAJU DO COLÔNIA,2915403,1,s0,Bahia
GALINHOS,2404101,3,s2,Rio Grande do Norte
SÃO LUÍS DO QUITUNDE,2708501,2,s1,Alagoas
LAGOA DO BARRO DO PIAUÍ,2205565,4,s3,Piauí
LAFAIETE COUTINHO,2918704,1,s0,Bahia
AGUIAR,2500205,2,s1,Paraíba
MILHÃ,2308351,2,s1,Ceará
LUÍS GOMES,2407005,2,s1,Rio Grande do Norte
GOIANA,2606200,3,s2,Pernambuco
SÃO DOMINGOS DO AZEITÃO,2110658,2,s1,Maranhão
IGARAPÉ GRANDE,2105203,0,si,Maranhão
RIBEIRÃO DO LARGO,2926657,2,s1,Bahia
MATURÉIA,2509396,1,s0,Paraíba
MALHADOR,2803906,1,s0,Sergipe
DÁRIO MEIRA,2910008,1,s0,Bahia
ENCANTO,2403301,2,s1,Rio Grande do Norte
GLÓRIA DO GOITÁ,2606101,4,s3,Pernambuco
VALENÇA,2932903,1,s0,Bahia
BOA NOVA,2903706,2,s1,Bahia
CALUMBI,2603405,4,s3,Pernambuco
SOCORRO DO PIAUÍ,2210904,3,s2,Piauí
ARARIPINA,2601102,5,s4,Pernambuco
PASSIRA,2610509,4,s3,Pernambuco
JANDUÍS,2405207,1,s0,Rio Grande do Norte
ITAPORANGA D'AJUDA,2803203,1,s0,Sergipe
PASTOS BONS,2108009,1,s0,Maranhão
PACAJUS,2309607,4,s3,Ceará
BOM SUCESSO,2502300,2,s1,Paraíba
PAULO AFONSO,2924009,3,s2,Bahia
MONTANHAS,2407708,1,s0,Rio Grande do Norte
CURIMATÁ,2203206,2,s1,Piauí
PEDRO ALEXANDRE,2924207,2,s1,Bahia
MAIRI,2920106,2,s1,Bahia
SÃO MIGUEL DO GOSTOSO,2412559,1,s0,Rio Grande do Norte
CAMPO REDONDO,2402105,3,s2,Rio Grande do Norte
MAMBAÍ,5212709,1,s0,Goiás
DIVINA PASTORA,2802007,1,s0,Sergipe
DOM MACEDO COSTA,2910206,1,s0,Bahia
SANTA HELENA,2513307,4,s3,Paraíba
ITIRUÇU,2916906,1,s0,Bahia
ILHA GRANDE,2204659,0,si,Piauí
LAJES PINTADAS,2406809,3,s2,Rio Grande do Norte
ROSÁRIO DO CATETE,2806107,1,s0,Sergipe
CAXIAS,2103000,0,si,Maranhão
UBATÃ,2932309,1,s0,Bahia
COLINAS,2103505,0,si,Maranhão
ALTAMIRA DO MARANHÃO,2100402,0,si,Maranhão
CANINDÉ,2302800,5,s4,Ceará
MANGA,3139300,2,s1,Minas Gerais
SÃO MIGUEL DO ALEIXO,2807006,2,s1,Sergipe
BREJO DO CRUZ,2502805,1,s0,Paraíba
JAGUARIPE,2917805,1,s0,Bahia
MINADOR DO NEGRÃO,2705309,2,s1,Alagoas
CAMUTANGA,2603603,4,s3,Pernambuco
INHAPI,2703304,3,s2,Alagoas
FAGUNDES,2506103,4,s3,Paraíba
SÃO JOÃO DO PARAÍSO,2111052,2,s1,Maranhão
SANTA MARIA DA VITÓRIA,2928109,1,s0,Bahia
QUEIMADAS,2925808,1,s0,Bahia
CHOROZINHO,2303956,4,s3,Ceará
FLORES,2605608,4,s3,Pernambuco
LAGOA DA CANOA,2704104,2,s1,Alagoas
MIGUEL LEÃO,2206308,0,si,Piauí
LASTRO,2508406,2,s1,Paraíba
ILHÉUS,2913606,1,s0,Bahia
UMBAÚBA,2807600,1,s0,Sergipe
GODOFREDO VIANA,2104305,1,s0,Maranhão
MARIBONDO,2704807,2,s1,Alagoas
PEDRA BRANCA,2511004,2,s1,Paraíba
SÃO RAIMUNDO NONATO,2210607,2,s1,Piauí
OLHO D'ÁGUA DAS CUNHÃS,2107407,0,si,Maranhão
PALMEIRA DO PIAUÍ,2207405,2,s1,Piauí
ESCADA,2605202,3,s2,Pernambuco
REMANSO,2926004,2,s1,Bahia
BACURITUBA,2101350,0,si,Maranhão
TRAIRI,2313500,3,s2,Ceará
VILA NOVA DOS MARTÍRIOS,2112852,1,s0,Maranhão
RIBEIRÓPOLIS,2806008,1,s0,Sergipe
MADEIRO,2205854,0,si,Piauí
PALMÁCIA,2310100,4,s3,Ceará
JUNQUEIRO,2704005,2,s1,Alagoas
OURIÇANGAS,2923308,3,s2,Bahia
JAGUARIBARA,2306801,2,s1,Ceará
BELÁGUA,2101731,0,si,Maranhão
HUMBERTO DE CAMPOS,2105005,0,si,Maranhão
SÃO LUÍS DO CURU,2312601,4,s3,Ceará
RIO LARGO,2707701,2,s1,Alagoas
FORTALEZA,2304400,4,s3,Ceará
SANTA LUZIA,2110005,0,si,Maranhão
ÁGUA BRANCA,2500106,2,s1,Paraíba
ALTOS,2200400,0,si,Piauí
OLINDINA,2923100,1,s0,Bahia
SÃO SEBASTIÃO DO UMBUZEIRO,2515203,4,s3,Paraíba
MATRIZ DE CAMARAGIBE,2705101,2,s1,Alagoas
CAJAPIÓ,2102408,0,si,Maranhão
BARRA DOS COQUEIROS,2800605,1,s0,Sergipe
ULIANÓPOLIS,1508126,0,si,Pará
TAQUARANA,2709103,2,s1,Alagoas
MATA DE SÃO JOÃO,2921005,1,s0,Bahia
FERREIROS,2605509,4,s3,Pernambuco
VALENTE,2933000,2,s1,Bahia
POÇÃO DE PEDRAS,2108900,0,si,Maranhão
PETROLINA,2611101,5,s4,Pernambuco
CROATÁ,2304236,5,s4,Ceará
CHAVAL,2303907,4,s3,Ceará
SÃO JOSÉ DA LAGOA TAPADA,2514206,2,s1,Paraíba
CARNAÍBA,2603900,4,s3,Pernambuco
RIACHÃO DO JACUÍPE,2926301,2,s1,Bahia
COELHO NETO,2103406,0,si,Maranhão
CAETANOS,2905156,4,s3,Bahia
CARAÚBAS,2504074,4,s3,Paraíba
PÃO DE AÇÚCAR,2706406,3,s2,Alagoas
URUÇUÍ,2211209,2,s1,Piauí
BARREIRA,2301950,3,s2,Ceará
SENADOR ALEXANDRE COSTA,2111748,0,si,Maranhão
UBAITABA,2932200,1,s0,Bahia
SÃO BENEDITO,2312304,5,s4,Ceará
CORRENTINA,2909307,2,s1,Bahia
GEMINIANO,2204352,5,s4,Piauí
MARAGOGIPE,2920601,1,s0,Bahia
PIRANHAS,2707107,3,s2,Alagoas
BARRAS,2201200,0,si,Piauí
BODOCÓ,2602001,5,s4,Pernambuco
ABEL FIGUEIREDO,1500131,1,s0,Pará
NOSSA SENHORA APARECIDA,2804458,2,s1,Sergipe
PEDRA PRETA,2409605,3,s2,Rio Grande do Norte
SANTA CRUZ DA BAIXA VERDE,2612471,3,s2,Pernambuco
MASSAPÊ DO PIAUÍ,2206050,5,s4,Piauí
IGUATU,2305506,2,s1,Ceará
CONDEÚBA,2908705,2,s1,Bahia
FORTIM,2304459,3,s2,Ceará
TANHAÇU,2931004,4,s3,Bahia
JUAZEIRO DO NORTE,2307304,2,s1,Ceará
CANDIBA,2906600,3,s2,Bahia
CAJARI,2102507,0,si,Maranhão
SOLIDÃO,2614402,2,s1,Pernambuco
BAYEUX,2501807,2,s1,Paraíba
